pinyin,noTone,character,meaning,Correct
lái,lai,來,come to,z
jiē,jie,接,to pick up,z
xiānshēng,xiansheng,先生,man,z
xìng,xing,姓,surname,x
jiào,jiao,叫,name,z
táiwān,taiwan,臺/台灣,taiwan,z
qǐngwèn,qingwen,請問,excuse me,z
xièxie,xiexie,謝謝,thank you,z
bú kèqì,bukeqi,不客氣,no problem,z
ne,ne,呢,and you?,z
nà,na,那,that,z
Wūlóngchá,wulong cha,烏龍茶,oolong tea,z
Duìbùqǐ,duibuqi,對不起,sorry,z
Piào liàng,piao liang,票亮,pretty,z
Fángzi,fangzi,房子,house,z
Zuò,zuo,坐,to sit,zx
Dōu,dou,都,all,z
Zhāng,zhang,張,measure word for flat objects,zx
Shéi,shei,誰,who?,zx
Mèimei,meimei,妹妹,younger sister,z
Qǐng jìn,qingjin,請進,please come in,z
Bómǔ,bomu,伯母,aunt,zx
Lǎoshī,laoshi,老師,teacher,z
Jǐ,ji,幾,how many,z
Méi,mei,沒,not,z
Xiōngdì,xiongdi,兄弟,brothers,zx
Zhōumò,zhoumo,週末,weekend,z
Tīng,ting,聽,to listen,z
Yīnyuè,yinyue,音樂,music,z
Yùndòng,yundong,運動,to excercise,z
hàn,han,和,and,z
Yóuyǒng,youyong,游泳,to swim,z
Cháng,chang,常,often,z
Zúqiú,zuqiu,足球,soccer,z
Juéde,juede,覺得,to think,z
Hǎowán,haowan,好玩,fun,zx
Zǎoshàng,zaoshang,早上,morning,z
Zěnme yàng,zenmeyang,怎麼樣,how about it?,z
a,a,啊,sentence-final particle,z
Zuò shénme,zuo shenme,做什麼,do what,z
Diànyǐng,dianying,電影,movie,z
Xiǎng,xiang,想,want,z
Háishì,haishi,還是,or,z
Wǎnfàn,wanfan,晚飯,dinner,z
Cài,cai,菜,cuisine,z
Yuènán,yuenan,越南,Vietnam,z
Qián,qian,錢,money,z
Rè,re,熱,hot,z
Bāng,bang,幫,for,z
Wéibō,weibo,微波,to microwave,z
Kuài,kuai,塊,measure word for piece,z
Wàidài,waidai,外帶,take out,z
Xīn,xin,新,new,z
Shǒujī,shouji,手機,cell phone,z
Jiù,jiu,舊,old,z
Zhǒng,zhong,種,type,z
Wàn,wan,萬,ten thousand,z
Wèishéme,weishenme,為什麼,why,z
